nombre;año;mes;precio;volumen
Maiz amilaceo;2020;01;1.08;5362.00
Maiz amilaceo;2020;02;1.34;4607.00
Maiz amilaceo;2020;03;1.56;4071.00
Maiz amilaceo;2020;04;1.21;2802.00
Maiz amilaceo;2020;05;1.21;2278.00
Maiz amilaceo;2020;06;1.43;1741.00
Maiz amilaceo;2020;07;1.64;1863.00
Maiz amilaceo;2020;08;1.61;1822.00
Maiz amilaceo;2020;09;1.85;1864.00
Maiz amilaceo;2020;10;1.83;2815.00
Maiz amilaceo;2020;11;1.97;2685.00
Maiz amilaceo;2020;12;1.82;3302.00
Maiz amilaceo;2021;01;2.04;3557.00
Maiz amilaceo;2021;02;2.17;3044.00
Maiz amilaceo;2021;03;2.69;3102.00
Maiz amilaceo;2021;04;2.25;2928.00
Maiz amilaceo;2021;05;2.01;2117.00
Maiz amilaceo;2021;06;2.27;1699.00
Maiz amilaceo;2021;07;2.15;1990.00
Maiz amilaceo;2021;08;2.12;2127.00
Maiz amilaceo;2021;09;2.19;2221.00
Maiz amilaceo;2021;10;2.24;2528.00
Maiz amilaceo;2021;11;2.02;3147.00
Maiz amilaceo;2021;12;1.46;4008.00
Olluco;2020;01;2.39;2117.00
Olluco;2020;02;1.77;2238.00
Olluco;2020;03;1.51;2418.00
Olluco;2020;04;1.26;3163.00
Olluco;2020;05;1.11;3078.00
Olluco;2020;06;1.33;2925.00
Olluco;2020;07;1.25;3078.00
Olluco;2020;08;1.37;2792.00
Olluco;2020;09;1.41;2328.00
Olluco;2020;10;1.49;2577.00
Olluco;2020;11;1.70;2954.00
Olluco;2020;12;1.74;2330.00
Olluco;2021;01;1.66;1850.00
Olluco;2021;02;2.52;1558.00
Olluco;2021;03;2.39;2741.00
Olluco;2021;04;1.49;3137.00
Olluco;2021;05;1.32;2492.00
Olluco;2021;06;1.17;2580.00
Olluco;2021;07;1.21;2394.00
Olluco;2021;08;1.27;2903.00
Olluco;2021;09;1.35;2491.00
Olluco;2021;10;1.41;2359.00
Olluco;2021;11;1.44;2948.00
Olluco;2021;12;1.56;2800.00
Papa blanca;2020;01;0.75;31963.00
Papa blanca;2020;02;0.64;30206.00
Papa blanca;2020;03;0.65;33167.00
Papa blanca;2020;04;0.68;32644.00
Papa blanca;2020;05;0.50;32163.00
Papa blanca;2020;06;0.53;34789.00
Papa blanca;2020;07;0.48;39968.00
Papa blanca;2020;08;0.54;40690.00
Papa blanca;2020;09;0.59;39218.00
Papa blanca;2020;10;0.55;40380.00
Papa blanca;2020;11;0.52;36517.00
Papa blanca;2020;12;0.64;43649.00
Papa blanca;2021;01;0.69;42499.00
Papa blanca;2021;02;0.61;34756.00
Papa blanca;2021;03;0.77;42091.00
Papa blanca;2021;04;0.82;39204.00
