eli,Precipitacion,Humedad,'Direccion del Viento','Velocidad del Viento',Temperatura_
26176,0,73,138,37,6.0
20452,0,51,357,18,4.0
27600,0,73,33,23,2.0
19479,0,69,176,30,6.0
10762,0,42,33,9,5.0
21,0,1,290,10,4.0
11102,0,1,177,15,3.0
20686,0,55,338,11,5.0
22785,0,81,331,19,3.0
37652,0,31,136,36,5.0
24179,0,61,232,7,4.0
4167,0,34,236,9,6.0
20598,0,64,6,6,3.0
34167,2,92,154,7,3.0
13660,0,73,108,5,3.0
1252,0,87,26,11,3.0
29645,0,17,26,12,3.0
31694,0,77,357,7,4.0
32605,0,43,150,44,6.0
24987,0,92,91,6,4.0
16084,0,49,32,25,5.0
13458,0,86,134,6,3.0
6420,3,1,295,6,3.0
19833,0,70,338,30,4.0
12209,0,64,325,22,5.0
6217,0,69,187,6,4.0
40932,0,53,332,17,5.0
37981,0,53,17,18,2.0
34395,23,92,329,16,3.0
21228,0,49,169,11,5.0
14117,0,59,7,15,3.0
23318,0,61,226,15,5.0
21950,0,29,129,8,6.0
37656,0,59,185,8,4.0
40813,0,73,143,7,4.0
7859,1,1,284,5,3.0
18424,0,80,178,18,5.0
31932,0,32,174,10,6.0
24646,4,1,104,39,3.0
27030,0,83,359,8,3.0
28434,0,36,159,35,6.0
15719,8,92,135,33,4.0
16023,0,48,164,33,5.0
13325,0,50,339,7,4.0
13414,0,91,113,5,3.0
29824,0,35,150,39,7.0
37776,0,60,165,28,4.0
2301,0,36,347,12,3.0
14443,0,53,74,7,2.0
6221,0,69,129,34,4.0
16712,0,92,172,10,3.0
30280,0,21,166,40,6.0
21094,0,57,20,13,3.0
22878,0,47,15,13,4.0
32893,0,47,172,7,6.0
749,0,1,344,9,3.0
6805,0,90,45,6,4.0
36103,0,72,343,10,4.0
14098,0,39,158,30,5.0
22652,0,84,196,18,4.0
10608,0,76,128,8,4.0
8575,0,42,20,17,4.0
30512,0,13,341,32,2.0
14572,0,54,15,16,3.0
15904,0,21,131,47,5.0
6547,0,93,303,8,3.0
40332,0,70,10,6,3.0
25940,0,82,149,7,4.0
20874,0,50,30,9,3.0
40474,0,79,1,11,3.0
20689,0,57,355,18,5.0
16165,0,42,157,24,6.0
38980,0,42,41,34,4.0
35466,0,1,177,23,3.0
3560,0,57,350,6,4.0
16988,0,1,109,28,3.0
9640,0,60,134,13,4.0
1038,0,89,8,14,4.0
40637,0,51,346,14,5.0
8828,3,70,199,15,4.0
37293,0,73,148,42,5.0
31314,0,28,117,67,5.0
38056,0,43,141,9,5.0
7658,0,95,234,6,4.0
12625,0,68,33,16,4.0
10074,0,88,139,40,4.0
4537,0,51,268,22,5.0
3811,0,39,113,55,6.0
29945,0,47,180,38,5.0
21167,0,67,340,7,3.0
36537,0,55,27,16,3.0
39887,0,68,189,22,4.0
36531,0,78,342,14,3.0
25468,0,50,313,40,5.0
20216,0,60,29,26,3.0
22278,0,71,344,9,3.0
22739,0,45,42,25,4.0
24407,0,1,156,7,3.0
14598,0,51,307,27,2.0
3158,0,42,302,39,4.0
451,0,94,323,9,4.0
25817,0,87,188,32,5.0
13499,0,43,114,64,5.0
31658,0,76,317,10,3.0
11562,1,1,117,14,3.0
18098,0,89,355,12,3.0
13396,0,72,304,22,3.0
8406,0,58,20,8,3.0
7826,0,91,121,10,3.0
14247,0,39,279,19,4.0
34560,4,84,109,10,3.0
39034,0,38,31,23,3.0
9022,0,1,163,13,3.0
9135,0,65,0,14,5.0
25635,0,87,337,15,3.0
6648,0,70,99,9,4.0
26831,0,91,335,15,3.0
29259,0,38,360,18,3.0
25003,2,1,123,28,3.0
257,0,1,164,7,4.0
12613,0,76,174,42,6.0
25126,0,92,327,3,4.0
1745,0,51,159,41,7.0
938,0,88,338,19,4.0
19130,0,94,360,8,4.0
29515,0,43,282,7,4.0
3087,0,38,150,19,5.0
10322,0,67,314,55,3.0
17915,0,90,116,9,4.0
21423,0,18,146,77,8.0
15124,0,49,200,19,5.0
14525,0,73,358,13,2.0
30389,0,47,357,10,4.0
22758,0,90,82,11,3.0
633,0,93,164,13,4.0
25586,2,1,133,14,3.0
36474,0,70,185,24,5.0
40937,0,54,151,36,7.0
13189,0,50,131,47,6.0
24077,0,44,58,9,3.0
18078,0,86,22,6,3.0
23047,0,62,318,1,3.0
4263,0,23,330,11,6.0
21256,0,40,127,26,6.0
10993,0,1,134,13,3.0
11363,0,93,5,12,3.0
32018,0,49,322,18,5.0
15940,0,21,27,19,3.0
26571,0,70,298,12,4.0
8435,0,66,335,15,3.0
24482,0,62,348,16,2.0
29739,0,50,85,12,3.0
39140,0,21,136,54,6.0
9009,0,95,144,6,2.0
37604,0,31,119,44,5.0
14215,0,35,303,36,4.0
7499,0,1,44,8,3.0
17860,0,92,82,6,4.0
5538,0,47,133,36,6.0
7218,0,93,181,13,4.0
35835,37,95,343,16,3.0
23532,0,42,349,15,4.0
15031,0,43,158,16,5.0
17213,0,1,279,13,4.0
13842,0,50,290,6,3.0
18425,0,82,175,33,6.0
9393,0,84,340,26,4.0
16381,0,94,145,7,4.0
23351,0,92,135,10,3.0
35103,0,46,72,11,5.0
23291,0,79,40,11,3.0
13056,0,84,353,6,3.0
17948,0,1,117,35,4.0
8719,0,92,1,96,2.0
16402,0,80,206,8,3.0
10087,0,1,184,6,2.0
38846,0,53,63,14,3.0
29994,0,40,167,38,6.0
22100,0,37,139,43,6.0
10321,4,78,316,44,3.0
29013,0,54,357,14,4.0
34004,0,86,118,31,3.0
21258,0,39,125,26,6.0
26091,0,95,5,19,3.0
37464,0,43,160,24,5.0
31467,0,45,330,22,4.0
38436,0,49,334,15,3.0
3220,0,28,128,58,5.0
30248,0,3,344,25,3.0
35629,0,71,333,15,3.0
31507,10,83,348,9,3.0
1285,0,23,187,26,7.0
4959,0,89,166,5,3.0
4610,0,54,220,15,6.0
1421,0,1,257,17,3.0
3022,0,54,1,96,4.0
39574,0,42,114,51,5.0
9373,0,62,321,18,4.0
38468,0,37,144,39,6.0
10751,0,78,138,9,5.0
12095,4,1,320,12,3.0
28756,0,61,31,16,2.0
12444,0,90,160,13,4.0
21397,0,32,176,27,7.0
29221,0,34,181,24,6.0
