fecha,precio,volumen
25/08/18,2.31,129
26/08/18,2.31,126
27/08/18,2.31,98
28/08/18,1.76,359
29/08/18,1.71,177
30/08/18,1.76,139
31/08/18,1.94,102
01/09/18,1.76,285
02/09/18,1.85,199
03/09/18,1.94,84
04/09/18,1.94,250
05/09/18,2.13,134
06/09/18,2.5,295
07/09/18,2.69,309
08/09/18,2.69,262
09/09/18,2.55,196
10/09/18,2.41,72
11/09/18,2.59,266
12/09/18,2.78,145
13/09/18,2.82,230
14/09/18,3.06,280
15/09/18,3.01,243
16/09/18,2.94,173
17/09/18,2.87,45
18/09/18,2.82,268
19/09/18,2.73,196
20/09/18,2.69,366
21/09/18,2.41,301
22/09/18,2.41,264
23/09/18,2.5,174
24/09/18,2.59,52
25/09/18,2.45,306
26/09/18,2.36,217
27/09/18,2.36,239
28/09/18,2.41,281
29/09/18,2.41,256
30/09/18,2.41,194
01/10/18,2.41,37
02/10/18,2.5,306
03/10/18,2.55,228
04/10/18,2.36,287
05/10/18,2.45,369
06/10/18,2.45,236
07/10/18,2.41,134
08/10/18,2.36,17
09/10/18,2.64,290
10/10/18,2.41,319
11/10/18,2.45,332
12/10/18,2.08,303
13/10/18,1.94,243
14/10/18,1.94,202
15/10/18,1.93,62
16/10/18,2.2,360
17/10/18,2.2,290
18/10/18,2.11,269
19/10/18,1.99,305
20/10/18,1.85,272
21/10/18,1.92,161
22/10/18,1.99,61
23/10/18,2.31,365
24/10/18,2.13,215
25/10/18,2.31,280
26/10/18,2.31,301
27/10/18,2.27,252
28/10/18,2.18,274
29/10/18,2.08,89
30/10/18,2.08,266
31/10/18,2.27,255
01/11/18,2.22,237
02/11/18,2.27,377
03/11/18,2.08,321
04/11/18,2.29,262
05/11/18,2.5,91
06/11/18,2.5,342
07/11/18,2.34,234
08/11/18,2.13,290
09/11/18,2.31,268
10/11/18,2.08,360
11/11/18,2.06,259
12/11/18,2.04,106
13/11/18,1.94,386
14/11/18,2.11,261
15/11/18,1.94,251
16/11/18,1.85,269
17/11/18,1.85,276
18/11/18,1.9,218
19/11/18,1.94,64
20/11/18,2.04,388
21/11/18,1.94,231
22/11/18,2.05,269
23/11/18,2.05,322
24/11/18,1.85,342
25/11/18,1.85,258
26/11/18,1.85,113
27/11/18,1.93,434
28/11/18,1.76,281
29/11/18,1.76,339
30/11/18,1.57,308
01/12/18,1.57,356
02/12/18,1.57,181
03/12/18,1.57,89
04/12/18,1.76,393
05/12/18,1.67,370
06/12/18,1.57,370
07/12/18,1.57,334
08/12/18,1.57,368
09/12/18,1.55,273
10/12/18,1.53,48
11/12/18,1.39,434
12/12/18,1.39,376
13/12/18,1.39,274
14/12/18,1.2,275
15/12/18,1.2,298
16/12/18,1.19,215
17/12/18,1.19,32
18/12/18,1.23,359
19/12/18,1.23,318
20/12/18,1.16,295
21/12/18,1.34,269
22/12/18,1.53,224
23/12/18,1.55,291
24/12/18,1.57,193
25/12/18,1.5,...
26/12/18,1.44,31
27/12/18,1.44,309
28/12/18,1.53,394
29/12/18,1.39,123
30/12/18,1.39,...
31/12/18,1.39,237
01/01/19,1.3,...
02/01/19,1.2,124
03/01/19,1.2,367
04/01/19,1.25,343
05/01/19,1.25,350
06/01/19,1.2,302
07/01/19,1.16,125
08/01/19,1.2,420
09/01/19,1.2,325
10/01/19,1.2,309
11/01/19,1.19,208
12/01/19,1.16,387
13/01/19,1.17,231
14/01/19,1.18,43
15/01/19,1.19,319
16/01/19,1.29,210
17/01/19,1.37,306
18/01/19,1.39,238
19/01/19,1.37,304
20/01/19,1.43,248
21/01/19,1.48,68
22/01/19,1.48,383
23/01/19,1.48,236
24/01/19,1.53,245
25/01/19,1.57,240
26/01/19,1.57,252
27/01/19,1.85,178
28/01/19,2.13,76
29/01/19,2.31,397
30/01/19,2.13,218
31/01/19,2.22,308
01/02/19,2.22,310
02/02/19,1.94,300
03/02/19,2.04,208
04/02/19,2.13,69
05/02/19,2.11,436
06/02/19,2.13,268
07/02/19,2.11,248
08/02/19,2.13,317
09/02/19,2.13,280
10/02/19,2.2,246
11/02/19,2.27,129
12/02/19,2.31,448
13/02/19,2.31,271
14/02/19,1.94,139
15/02/19,1.94,303
16/02/19,1.94,233
17/02/19,1.85,220
18/02/19,1.76,127
19/02/19,2.13,380
20/02/19,1.94,244
21/02/19,1.76,238
22/02/19,1.76,347
23/02/19,1.71,308
24/02/19,1.71,252
25/02/19,1.71,93
26/02/19,1.9,396
27/02/19,1.57,328
28/02/19,1.57,337
01/03/19,1.39,363
02/03/19,1.57,215
03/03/19,1.57,227
04/03/19,1.57,103
05/03/19,1.39,361
06/03/19,1.48,218
07/03/19,1.71,240
08/03/19,1.76,261
09/03/19,1.76,306
10/03/19,1.76,247
