eli,DISTRITO,CULTIVO
322,ANCASH-HUAYLAS-YURACMARCA,Papa nativa
323,ANCASH-PALLASCA-HUANDOVAL,Haba grano seco
324,ANCASH-RECUAY-RECUAY,Haba grano seco
325,ANCASH-RECUAY-COTAPARACO,Papa nativa
326,ANCASH-RECUAY-HUAYLLAPAMPA,Papa nativa
327,ANCASH-RECUAY-TICAPAMPA,Olluco
328,ANCASH-RECUAY-TICAPAMPA,Quinua
329,ANCASH-YUNGAY-RANRAHIRCA,Olluco
330,ANCASH-YUNGAY-RANRAHIRCA,Quinua
331,ANCASH-YUNGAY-SHUPLUY,Papa color
332,APURIMAC-ABANCAY-CHACOCHE,Olluco
333,APURIMAC-ABANCAY-LAMBRAMA,Camote
334,APURIMAC-ABANCAY-LAMBRAMA,Cebolla cabeza roja
335,APURIMAC-ABANCAY-LAMBRAMA,Tomate
336,APURIMAC-ANDAHUAYLAS-KAQUIABAMBA,Zanahoria
337,APURIMAC-ANTABAMBA-ANTABAMBA,Arveja grano verde
338,APURIMAC-ANTABAMBA-JUAN ESPINOZA MEDRANO,Arveja grano verde
339,APURIMAC-AYMARAES-CAPAYA,Olluco
340,APURIMAC-AYMARAES-CAPAYA,Quinua
341,APURIMAC-AYMARAES-COLCABAMBA,Quinua
342,APURIMAC-AYMARAES-HUAYLLO,Frijol grano seco
343,APURIMAC-AYMARAES-JUSTO APU SAHUARAURA,Arveja grano seco
344,APURIMAC-AYMARAES-JUSTO APU SAHUARAURA,Olluco
345,APURIMAC-AYMARAES-JUSTO APU SAHUARAURA,Quinua
346,APURIMAC-AYMARAES-SAN JUAN DE CHACYA,Arveja grano seco
347,APURIMAC-AYMARAES-TORAYA,Papa nativa
348,APURIMAC-COTABAMBAS-CHALLHUAHUACHO,Trigo
349,APURIMAC-GRAU-CHUQUIBAMBILLA,Maiz choclo
350,APURIMAC-GRAU-GAMARRA,Papa blanca
351,APURIMAC-GRAU-HUAYLLATI,Arveja grano verde
352,APURIMAC-GRAU-HUAYLLATI,Frijol grano seco
353,APURIMAC-GRAU-MAMARA,Maiz choclo
354,APURIMAC-GRAU-MICAELA BASTIDAS,Olluco
355,APURIMAC-GRAU-PROGRESO,Maiz amilaceo
356,APURIMAC-GRAU-SAN ANTONIO,Haba grano seco
357,APURIMAC-GRAU-SAN ANTONIO,Maiz choclo
358,APURIMAC-GRAU-SAN ANTONIO,Papa blanca
359,APURIMAC-GRAU-VILCABAMBA,Papa blanca
360,APURIMAC-GRAU-CURASCO,Arveja grano seco
361,APURIMAC-GRAU-CURASCO,Quinua
362,AREQUIPA-CAYLLOMA-COPORAQUE,Papa nativa
363,AREQUIPA-CAYLLOMA-MADRIGAL,Cebada grano
364,AREQUIPA-CAYLLOMA-MADRIGAL,Papa blanca
365,AREQUIPA-CAYLLOMA-SIBAYO,Papa nativa
366,AREQUIPA-CAYLLOMA-TAPAY,Papa blanca
367,AREQUIPA-CAYLLOMA-TAPAY,Papa color
368,AREQUIPA-CAYLLOMA-TUTI,Papa color
369,CAJAMARCA-CHOTA-LAJAS,Zapallo
370,CAJAMARCA-SAN MARCOS-GREGORIO PITA,Frijol grano seco
371,CAJAMARCA-SAN MIGUEL-EL PRADO,Olluco
372,CAJAMARCA-SAN MIGUEL-SAN GREGORIO,Yuca
373,CAJAMARCA-SAN MIGUEL-SAN SILVESTRE DE COCHAN,Haba grano seco
374,CAJAMARCA-SAN MIGUEL-SAN SILVESTRE DE COCHAN,Papa nativa
375,CUSCO-ANTA-CACHIMAYO,Papa blanca
376,CUSCO-CANAS-CHECCA,Olluco
377,CUSCO-CANAS-LANGUI,Olluco
378,CUSCO-LA CONVENCION-SANTA ANA,Camote
379,CUSCO-URUBAMBA-OLLANTAYTAMBO,Haba grano seco
380,CUSCO-URUBAMBA-YUCAY,Arveja grano verde
381,CUSCO-URUBAMBA-YUCAY,Papa nativa
382,CUSCO-URUBAMBA-YUCAY,Quinua
383,HUANCAVELICA-HUANCAVELICA-PALCA,Trigo
384,HUANCAVELICA-HUANCAVELICA-PILCHACA,Ajo
385,HUANCAVELICA-HUANCAVELICA-VILCA,Papa nativa
386,HUANCAVELICA-HUANCAVELICA-ASCENCION,Haba grano seco
387,HUANCAVELICA-HUANCAVELICA-ASCENCION,Olluco
388,HUANCAVELICA-ACOBAMBA-ACOBAMBA,Ajo
389,HUANCAVELICA-ANGARAES-HUAYLLAY GRANDE,Arveja grano seco
390,HUANCAVELICA-ANGARAES-HUAYLLAY GRANDE,Papa blanca
391,HUANCAVELICA-CASTROVIRREYNA-TANTARA,Quinua
392,HUANCAVELICA-CASTROVIRREYNA-TICRAPO,Papa nativa
393,HUANCAVELICA-HUAYTARA-HUAYACUNDO ARMA,Papa blanca
394,HUANCAVELICA-HUAYTARA-HUAYACUNDO ARMA,Papa color
395,HUANCAVELICA-HUAYTARA-LARAMARCA,Papa nativa
396,HUANCAVELICA-HUAYTARA-QUERCO,Arveja grano seco
397,HUANCAVELICA-HUAYTARA-QUERCO,Papa blanca
398,HUANCAVELICA-TAYACAJA-HUARIBAMBA,Quinua
399,HUANCAVELICA-TAYACAJA-YAHUIMPUQUIO,Maiz amilaceo
400,HUANUCO-DOS DE MAYO-RIPAN,Quinua
401,HUANUCO-HUAMALIES-PUNCHAO,Cebolla cabeza roja
402,HUANUCO-HUAMALIES-SINGA,Ajo
403,HUANUCO-HUAMALIES-SINGA,Cebolla cabeza roja
404,ICA-CHINCHA-CHAVIN,Quinua
405,JUNIN-HUANCAYO-CARHUACALLANGA,Papa color
406,JUNIN-HUANCAYO-CARHUACALLANGA,Papa nativa
407,JUNIN-HUANCAYO-CHICCHE,Arveja grano seco
408,JUNIN-HUANCAYO-CHONGOS ALTO,Olluco
409,JUNIN-HUANCAYO-EL TAMBO,Papa nativa
410,JUNIN-HUANCAYO-PILCOMAYO,Maiz amilaceo
411,JUNIN-CONCEPCION-MATAHUASI,Trigo
412,JUNIN-TARMA-ACOBAMBA,Trigo
413,JUNIN-TARMA-HUASAHUASI,Cebada grano
414,JUNIN-TARMA-LA UNION,Papa nativa
415,JUNIN-TARMA-PALCAMAYO,Cebolla cabeza roja
416,JUNIN-YAULI-LA OROYA,Papa nativa
417,JUNIN-YAULI-CHACAPALPA,Cebada grano
418,JUNIN-YAULI-HUAY-HUAY,Papa nativa
419,JUNIN-YAULI-PACCHA,Papa blanca
420,JUNIN-YAULI-SANTA ROSA DE SACCO,Papa blanca
421,JUNIN-CHUPACA-HUACHAC,Olluco
422,JUNIN-CHUPACA-YANACANCHA,Ajo
423,LA LIBERTAD-OTUZCO-SINSICAP,Ajo
424,LIMA-HUAROCHIRI-HUACHUPAMPA,Maiz amilaceo
425,LIMA-HUAROCHIRI-HUAROCHIRI,Cebada grano
426,LIMA-HUAROCHIRI-LARAOS,Haba grano seco
427,LIMA-HUAROCHIRI-SAN ANDRES DE TUPICOCHA,Papa color
428,LIMA-HUAROCHIRI-SAN DAMIAN,Papa nativa
429,LIMA-HUAROCHIRI-SAN LORENZO DE QUINTI,Cebada grano
430,LIMA-HUAROCHIRI-SAN LORENZO DE QUINTI,Trigo
431,LIMA-HUAROCHIRI-SURCO,Papa blanca
432,LIMA-HUAURA-AMBAR,Olluco
433,LIMA-OYON-ANDAJES,Olluco
434,LIMA-OYON-COCHAMARCA,Papa nativa
435,LIMA-OYON-NAVAN,Olluco
436,LIMA-YAUYOS-AYAVIRI,Olluco
