DEPARTAMENTO,PROVINICA,DISTRITO,Precio Promedio,Volumen Promedio,Temperatura,Humedad,Precipitación,Cultivo
1,137,995,1.65,1423.0,9.22,76.47,34.05,8
1,137,358,1.23,1684.0,9.22,76.47,34.05,14
1,137,513,1.23,1684.0,9.22,76.47,34.05,14
1,137,1268,1.33,2925.0,9.22,76.47,34.05,11
1,172,990,1.33,2925.0,9.22,76.47,34.05,11
1,172,1189,0.6,4525.0,9.22,76.47,34.05,13
2,0,210,1.33,2925.0,22.93,92.09,0.0,11
2,0,628,0.93,4777.0,22.93,92.09,0.0,5
2,0,628,1.53,15408.0,22.93,92.09,0.0,6
2,0,628,2.83,7219.0,22.93,92.09,0.0,16
2,5,587,0.6,10003.0,22.93,92.09,0.0,18
2,8,58,3.81,3579.0,22.93,92.09,0.0,4
2,8,578,3.81,3579.0,22.93,92.09,0.0,4
2,15,161,1.33,2925.0,22.93,92.09,0.0,11
2,15,516,2.41,151.0,22.93,92.09,0.0,7
2,15,586,3.3,2024.0,22.93,92.09,0.0,3
2,15,586,1.33,2925.0,22.93,92.09,0.0,11
2,15,1070,3.3,2024.0,22.93,92.09,0.0,3
2,15,1292,1.23,1684.0,22.93,92.09,0.0,14
2,70,415,0.53,34789.0,22.93,92.09,0.0,12
2,70,514,3.81,3579.0,22.93,92.09,0.0,4
2,70,514,2.41,151.0,22.93,92.09,0.0,7
2,70,740,1.33,2925.0,22.93,92.09,0.0,11
2,70,935,1.43,1741.0,22.93,92.09,0.0,10
2,70,1032,1.65,1423.0,22.93,92.09,0.0,8
2,70,1032,0.53,34789.0,22.93,92.09,0.0,12
2,70,1339,0.53,34789.0,22.93,92.09,0.0,12
2,70,373,3.3,2024.0,22.93,92.09,0.0,3
3,40,346,1.23,1684.0,19.93,83.2,1.83,14
3,40,694,0.53,34789.0,19.93,83.2,1.83,12
3,40,1190,1.23,1684.0,19.93,83.2,1.83,14
3,40,1247,0.53,34789.0,19.93,83.2,1.83,12
3,40,1247,0.6,4525.0,19.93,83.2,1.83,13
3,40,1313,0.6,4525.0,19.93,83.2,1.83,13
4,48,623,1.39,3806.0,10.93,78.1,15.5,19
4,143,419,2.41,151.0,10.93,78.1,15.5,7
